Question,answer 1,answer 2,answer 3,answer 4,Difficulty,classification
Who read Israel’s Declaration of Independence in 1948?,Chaim Weizmann,Menachem Begin,David Remez,David Ben-Gurion,1,Israel politics and Wars in israel
In what year was the State of Israel declared independent?,1945,1947,1950,1948,1,Israel politics and Wars in israel
What is the name of Israel’s parliament?,Bundestag,Senate,Majlis,Knesset,1,Israel politics and Wars in israel
Which city is the seat of the Knesset?,Tel Aviv,Haifa,Beersheba,Jerusalem,1,Israel politics and Wars in israel
Who was Israel’s first president?,David Ben-Gurion,Golda Meir,Levi Eshkol,Chaim Weizmann,2,Israel politics and Wars in israel
Who was Israel’s first prime minister?,Moshe Sharett,Yitzhak Rabin,Shimon Peres,David Ben-Gurion,1,Israel politics and Wars in israel
Which war began immediately after Israel declared independence?,Six-Day War,Yom Kippur War,Lebanon War,1948 Arab-Israeli War,2,Israel politics and Wars in israel
Which war took place in June 1967?,War of Attrition,First Lebanon War,Suez Crisis,Six-Day War,1,Israel politics and Wars in israel
"Which war began on October 6, 1973?",Six-Day War,Gulf War,First Intifada,Yom Kippur War,1,Israel politics and Wars in israel
Which Israeli prime minister signed the peace treaty with Egypt?,Yitzhak Shamir,Golda Meir,Ariel Sharon,Menachem Begin,2,Israel politics and Wars in israel
Which Egyptian president signed the 1979 peace treaty with Israel?,Gamal Abdel Nasser,Hosni Mubarak,King Hussein,Anwar Sadat,2,Israel politics and Wars in israel
"What was the name of the 1956 conflict involving Israel, Britain, France and Egypt?",War of Attrition,Operation Litani,First Lebanon War,Suez Crisis,3,Israel politics and Wars in israel
Which Israeli prime minister was assassinated in 1995?,Menachem Begin,Ariel Sharon,Ehud Barak,Yitzhak Rabin,1,Israel politics and Wars in israel
Which agreement was signed between Israel and Jordan in 1994?,Camp David Accords,Oslo I,Abraham Accords,Israel-Jordan Peace Treaty,2,Israel politics and Wars in israel
Who was Jordan’s king when the 1994 peace treaty with Israel was signed?,King Abdullah II,King Faisal,King Salman,King Hussein,7,Israel politics and Wars in israel
Which accords were signed in 2020 between Israel and several Arab states?,Oslo Accords,Camp David Accords,Geneva Accords,Abraham Accords,2,Israel politics and Wars in israel
Which Israeli prime minister ordered the disengagement from Gaza in 2005?,Ehud Olmert,Benjamin Netanyahu,Ehud Barak,Ariel Sharon,2,Israel politics and Wars in israel
What is the electoral threshold body elected by Israeli citizens called?,Supreme Court,Cabinet,Histadrut,Knesset,2,Israel politics and Wars in israel
Which Israeli president later became prime minister and won a Nobel Peace Prize?,Reuven Rivlin,Moshe Katsav,Yitzhak Navon,Shimon Peres,6,Israel politics and Wars in israel
Which Israeli political party was founded by Menachem Begin?,Labor,Kadima,Yesh Atid,Likud,3,Israel politics and Wars in israel
Which Israeli leader was known as “The Iron Lady” of Israeli politics?,Tzipi Livni,Miri Regev,Ayelet Shaked,Golda Meir,2,Israel politics and Wars in israel
Which war included Israel’s capture of the Golan Heights?,1948 War,Yom Kippur War,First Lebanon War,Six-Day War,3,Israel politics and Wars in israel
Which war included the surprise attack by Egypt and Syria on Israel?,Six-Day War,Suez Crisis,Second Lebanon War,Yom Kippur War,2,Israel politics and Wars in israel
Which operation was the 1976 Israeli hostage rescue in Uganda?,Operation Cast Lead,Operation Defensive Shield,Operation Peace for Galilee,Operation Entebbe,2,Israel politics and Wars in israel
Which Israeli commander was killed during Operation Entebbe?,Ehud Barak,Moshe Dayan,Yitzhak Rabin,Yonatan Netanyahu,3,Israel politics and Wars in israel
Which Israeli prime minister signed the Oslo Accords on behalf of Israel?,Yitzhak Shamir,Ariel Sharon,Menachem Begin,Yitzhak Rabin,3,Israel politics and Wars in israel
Which Palestinian leader signed the Oslo Accords with Israel?,Mahmoud Abbas,Marwan Barghouti,Ahmed Yassin,Yasser Arafat,2,Israel politics and Wars in israel
Which Israeli city was heavily targeted by Iraqi Scud missiles during the 1991 Gulf War?,Eilat,Tiberias,Safed,Tel Aviv,3,Israel politics and Wars in israel
What is Israel’s written constitutional framework mainly made of?,One single constitution,Royal decrees,Regional charters,Basic Laws,4,Israel politics and Wars in israel
Which Israeli court is the highest judicial authority?,District Court,Magistrate Court,Military Court,Supreme Court,2,Israel politics and Wars in israel
Which Israeli prime minister served the shortest first term after Rabin’s assassination until the 1996 election?,Ehud Barak,Ariel Sharon,Benjamin Netanyahu,Shimon Peres,6,Israel politics and Wars in israel
Which Israeli party historically represented the labor Zionist movement?,Likud,Shas,Yisrael Beiteinu,Labor Party,3,Israel politics and Wars in israel
Which religious political party is associated mainly with Sephardi Haredi voters?,Meretz,Labor,Blue and White,Shas,3,Israel politics and Wars in israel
Which Israeli operation in 2002 targeted terror infrastructure during the Second Intifada?,Operation Opera,Operation Litani,Operation Moses,Operation Defensive Shield,4,Israel politics and Wars in israel
Which nuclear reactor did Israel strike in Iraq in 1981?,Bushehr,Dimona,Natanz,Osirak,4,Israel politics and Wars in israel
What was the name of the Israeli airstrike on Osirak?,Operation Entebbe,Operation Cast Lead,Operation Grapes of Wrath,Operation Opera,5,Israel politics and Wars in israel
Which war is also called the War of Independence in Israel?,Suez Crisis,Six-Day War,Yom Kippur War,1948 War,2,Israel politics and Wars in israel
Which Israeli defense minister was famous for the eye patch and the Six-Day War era?,Ariel Sharon,Yigal Allon,Ehud Barak,Moshe Dayan,2,Israel politics and Wars in israel
Which Israeli prime minister was formerly mayor of Jerusalem?,Yitzhak Rabin,Golda Meir,Moshe Sharett,Ehud Olmert,3,Israel politics and Wars in israel
Which Israeli prime minister founded Kadima?,Ehud Barak,Shimon Peres,Yair Lapid,Ariel Sharon,3,Israel politics and Wars in israel
Which Israeli prime minister returned to power in 2009 after first serving in the 1990s?,Ehud Olmert,Naftali Bennett,Yitzhak Shamir,Benjamin Netanyahu,2,Israel politics and Wars in israel
Which body formally elects the president of Israel?,The Supreme Court,The IDF General Staff,The public in direct elections,The Knesset,6,Israel politics and Wars in israel
How long is a standard Knesset term if not dissolved early?,2 years,3 years,5 years,4 years,3,Israel politics and Wars in israel
How many seats are in the Knesset?,100,110,150,120,1,Israel politics and Wars in israel
Which Israeli prime minister signed the 1998 Wye River Memorandum?,Ariel Sharon,Ehud Barak,Yitzhak Rabin,Benjamin Netanyahu,5,Israel politics and Wars in israel
Which agreement followed the 1978 Camp David talks and led to Israel-Egypt peace?,Oslo II,Geneva Initiative,Abraham Accords,Camp David Accords,3,Israel politics and Wars in israel
Which war involved the Battle of Ammunition Hill?,Yom Kippur War,First Lebanon War,War of Attrition,Six-Day War,4,Israel politics and Wars in israel
Which Israeli war began in 1982?,Suez Crisis,Second Lebanon War,Gaza War 2008,First Lebanon War,2,Israel politics and Wars in israel
Which Israeli war took place in 2006 against Hezbollah?,First Lebanon War,Yom Kippur War,Operation Opera,Second Lebanon War,9,Israel politics and Wars in israel
Which Israeli prime minister was in office during the Second Lebanon War?,Ariel Sharon,Ehud Barak,Yitzhak Rabin,Ehud Olmert,10,Israel politics and Wars in israel
Which military campaign in Gaza began in late 2008?,Operation Protective Edge,Operation Guardian of the Walls,Operation Pillar of Defense,Operation Cast Lead,3,Israel politics and Wars in israel
